"","panjivarecordid","billOfLadingNumber","shpmtDate","shpName","shpFullAddress","shpRoute","shpCity","shpStateRegion","shpPostalCode","shpCountry","shpPanjivaId","shpOriginalFormat","carrier","shpmtDestination","portOfLading","portOfLadingRegion","portOfLadingCountry","portOfUnlading","portOfUnladingRegion","portofUnladingCountry","placeOfReceipt","vessel","vesselCountry","transportFlightCode","isContainerized","volumeTEU","itemquantity","weightkg","weightt","weightoriginalformat","valueofgoodsusd","equipmenttype","equipmentdimensions","dividedlcl","filedate"
"192",38745559,"NAM3977292",2020-08-09,"Navigation Network Inc.","5620 TCHOUPITOULAS ST 70115 NEW ORLEANS UNITED STATES P.O. BOX 14146 WESTLANDS NAIROBI, 00800 KENYA","225 Arabella Street","New Orleans","Louisiana","70115","United States","45980577","Navigation Network Inc","CMDU - Cma Cgm","Haiti","New York/Newark Area, Newark, New Jersey","New York Region","United States","La Fitteau, Haiti","Caribbean","Haiti","St Paul, Mn","Warnow Dolphin","","",1,6,"See Container Quantities column","58507.5",58.5075,"58507.5 kg","46100",NA,"","",2020-11-06
"193",50879505,"KKLUTMS200417",2020-04-29,"","","","","","","","","","KKLU - Kawasaki Kisen Kaisha Ltd","Germany","Port of Brunswick, Brunswick, Georgia","Southeast Region","United States","Bremerhaven, Germany","Western Europe","Germany","","Apollon Highway","","",NA,NA,"See Container Quantities column","18721.72",18.72172,"18721.72 kg","",NA,"","",2021-05-28
"194",50879473,"KKLUTMS200411",2020-04-29,"","","","","","","","","","KKLU - Kawasaki Kisen Kaisha Ltd","Belgium","Port of Brunswick, Brunswick, Georgia","Southeast Region","United States","Zeebrugge, Belgium","Western Europe","Belgium","","Apollon Highway","","",NA,NA,"See Container Quantities column","8436",8.436,"8436.0 kg","",NA,"","",2021-05-28
"195",37603833,"NAM3902168",2020-05-26,"Hoyer Global (USA) Inc.","2100 SPACE PARK DRIVE SUITE 200 HOUSTON, TX 77058","","","","","United States","27816582","Hoyer Global Usa Inc","CMDU - Cma Cgm","Australia","Houston, Houston, Texas","Southwest Region","United States","Brisbane, Australia","Australasia","Australia","","Hansa Granite","","",1,2,"See Container Quantities column","19704",19.704,"19704.0 kg","149000",NA,"","",2020-06-18
"196",32704783,"MEDUKB615509",2020-01-01,"Setton International Foods Inc.","85 AUSTIN BOULEVARD COMMACK, NY 11725","","","","","United States","36123545","Setton International Foods Inc. 85 Austin Boulevard Commack, Ny 11725 Phone No : 631 543 8090 Fax No : 631 543 0045","MSCU - Msc Mediterranean Shipping Company S A","Spain","Port of Long Beach, Long Beach, California","Pacific Region","United States","Valencia, Spain","Western Europe","Spain","","Msc Rania","","",1,4,"See Container Quantities column","40216.17",40.21617,"40216.17 kg","333000",NA,"","",2020-01-26
"197",32704763,"MEDUKB631266",2020-01-01,"Aa Cargo","352 SHAW RD SOUTH SAN FRANCISCO CA 94080 U.S.A","352 Shaw Road","South San Francisco","California","94080","United States","45766202","Aa Cargo, Inc. Arben Hodza 139 Mitchell Avenue, Suite 201 South San Francisco, Ca 94080 Phone No : 408 429 5472 Fax No : 650 872 8885","MSCU - Msc Mediterranean Shipping Company S A","Nigeria","Port of Long Beach, Long Beach, California","Pacific Region","United States","Lagos, Nigeria","Western Africa","Nigeria","","Msc Rania","","",1,2,"See Container Quantities column","7068",7.068,"7068.0 kg","",NA,"","",2020-01-26
"198",37661173,"NAM3949844",2020-07-13,"","","","","","","","","","CMDU - Cma Cgm","China","Port of New Orleans, New Orleans, Louisiana","South Central Region","United States","Yantian, China","Eastern Asia","China","","Cma Cgm Almaviva","","",1,2,"See Container Quantities column","28049.1",28.0491,"28049.1 kg","27200",NA,"","",2020-08-04
"199",34270353,"CAWB3799952",2020-09-24,"","","","","","","","","","HDMU - Hyundai Merchant Marine","South Korea","The Port of Los Angeles, Los Angeles, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","Ont Ario","Ym Ubiquity","","",1,2,"See Container Quantities column","4322.23",4.322231,"4322.231 kg","",NA,"","",2020-10-13
"200",32704663,"MEDUKB614031",2020-01-01,"Dapex","1600 LOWER RD LINDEN NJ UNITED STATES 07036 EMAIL DOCEXP DAPEX.NET LINDEN NJ","1600 Lower Road","Linden","New Jersey","07036","United States","36542410","Dapex 1600 Lower Road, Suite #6 Linden, Nj 07036","MSCU - Msc Mediterranean Shipping Company S A","Oman","Port of Long Beach, Long Beach, California","Pacific Region","United States","Mina Raysut, Oman","Western Asia","Oman","","Msc Rania","","",1,2,"See Container Quantities column","6908",6.908,"6908.0 kg","",NA,"","",2020-01-26
"201",34300253,"MEDUUA452090",2020-09-26,"","","","","","","","","","MSCU - Msc Mediterranean Shipping Company S A","Pakistan","Baltimore, Maryland","Northeast Region","United States","Port Muhammad Bin Qasim, Pakistan","Southern Asia","Pakistan","","Msc Toronto","","",1,2,"See Container Quantities column","18797.06",18.79706,"18797.06 kg","15700",NA,"","",2020-10-18
"202",32704583,"MEDUKB630706",2020-01-01,"USA Intercargo Llc","46032 CARMEL INDIANA 46032","","Carmel","Indiana","46032","United States","44421313","Usa Intercargo Llc Haley 564 Industrial Dr. Carmel, In 46032","MSCU - Msc Mediterranean Shipping Company S A","Georgia","Port of Long Beach, Long Beach, California","Pacific Region","United States","Poti, Georgia","Eastern Europe","Georgia","","Msc Rania","","",1,2,"See Container Quantities column","5710",5.71,"5710.0 kg","",NA,"","",2020-01-26
"203",38598145,"SMLMPHX0B3195700",2020-08-09,"16910 Cherie Place","CARSON, CA 90746","","Long Beach","California","90746","United States","87219402","16910 Cherie Place","SMLM - Sm Line Corporation","South Korea","Port of Oakland, Oakland, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Msc Istanbul","","",1,2,"See Container Quantities column","19460",19.46,"19460.0 kg","132000",NA,"","",2020-08-28
"204",32704463,"MEDUKB597798",2020-01-01,"Cedars Express International Inc.","2751 E. EL PRESIDIO ST CARSON CA 90810","960 East Walnut Street","Carson","California","90746","United States","4169210","Cedars Express International Inc. Elizabeth Barrientos 2751 E. El Presidio St. Carson, Ca 90810 Phone No : 13106080306 Fax No : 13106080311","MSCU - Msc Mediterranean Shipping Company S A","Ukraine","Port of Long Beach, Long Beach, California","Pacific Region","United States","Juzhny, Ukraine","Eastern Europe","Ukraine","","Msc Rania","","",1,2,"See Container Quantities column","6643",6.643,"6643.0 kg","",NA,"","",2020-01-26
"205",38599465,"SMLMPHX0B3771700",2020-08-09,"335 W.Artesia Blvd","COMPTON, CA 90220","901 West Alondra Boulevard","Compton","California","90220","United States","18762493","1250 W Artesia Blvd","SMLM - Sm Line Corporation","South Korea","Port of Long Beach, Long Beach, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Maersk Emerald","","",1,2,"See Container Quantities column","11798",11.798,"11798.0 kg","21800",NA,"","",2020-08-31
"206",37884893,"NAM3975888",2020-08-23,"Four Star Sales","13830 AV 24 DELANO CALIFORNIA 93215 U.S.A. AMELIA NEAL PH","2800 Road 136","Delano","California","93215","United States","33469479","Four Star Sales Inc","CMDU - Cma Cgm","Japan","The Port of Los Angeles, Los Angeles, California","Pacific Region","United States","Kobe, Japan","Eastern Asia","Japan","","One Olympus","","",1,2,"See Container Quantities column","17735",17.735,"17735.0 kg","",NA,"","",2020-09-12
"207",38599545,"SMLMPHX0B3789200",2020-08-09,"335 W.Artesia Blvd","COMPTON, CA 90220","901 West Alondra Boulevard","Compton","California","90220","United States","18762493","1250 W Artesia Blvd","SMLM - Sm Line Corporation","South Korea","Port of Long Beach, Long Beach, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Maersk Emerald","","",1,1,"See Container Quantities column","7799.07",7.799066,"7799.066 kg","13700",NA,"","",2020-08-31
"208",37700173,"NAM3892528",2020-05-14,"","","","","","","","","","CMDU - Cma Cgm","China","Port of Virginia, Norfolk, Virginia","Southeast Region","United States","Shanghai, China","Eastern Asia","China","Columbus, Oh","Cma Cgm Magellan","","",1,2,"See Container Quantities column","23549",23.549,"23549.0 kg","",NA,"","",2020-06-08
"209",34338153,"HLCUBSC200986020",2020-09-26,"","","","","","","","","","HLCU - Hapag Lloyd A G","South Korea","The Port of Los Angeles, Los Angeles, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","Usmsy; New Orleans, La","Ymubiquity","","",1,1,"See Container Quantities column","7458",7.458,"7458.0 kg","272000",NA,"","",2020-10-24
"210",34255493,"6272475640",2020-09-23,"","","","","","","","","","COSU - Cosco Shipping Lines Co Ltd","China","Newark, New Jersey","New York Region","United States","Taicang, China","Eastern Asia","China","","Apl Vancouver","","",1,18,"See Container Quantities column","74825",74.825,"74825.0 kg","",NA,"","",2020-10-13
"211",34287273,"SUDU20001APDCPDR",2020-09-26,"","","","","","","","","","SUDU - Hamburg Sued","Colombia","The Port of Charleston, Charleston, South Carolina","Southeast Region","United States","Cartagena, Colombia","South America","Colombia","Charleston Sc Us","Olivia Maersk","","",1,2,"See Container Quantities column","5471.36",5.47136,"5471.36 kg","44000",NA,"","",2020-10-18
"212",38598125,"SMLMPHX0B2075300",2020-08-09,"Alco Iron & Metal Co. C/O","JPLOGISTICS, INC. 5820 STONERIDGE MALLRD. #217 PLEASANTON, CA94588","5820 Stoneridge Mall Road","Pleasanton","California","94588","United States","27960173","Alco Iron And Metal Co.*","SMLM - Sm Line Corporation","South Korea","Port of Oakland, Oakland, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Msc Istanbul","","",1,8,"See Container Quantities column","76548",76.548,"76548.0 kg","85300",NA,"","",2020-08-28
"213",34272113,"CAWB3799822",2020-09-24,"","","","","","","","","","HDMU - Hyundai Merchant Marine","China","The Port of Los Angeles, Los Angeles, California","Pacific Region","United States","Shanghai, China","Eastern Asia","China","Ont Ario","Hyundai Pluto","","",1,2,"See Container Quantities column","5749.68",5.749679,"5749.679 kg","",NA,"","",2020-10-13
"214",32704103,"MEDUKB591726",2020-01-01,"Cfr Rinkens Llc","15501 TEXACO AVENUE PARAMOUNT, CA 90723","15501 Texaco Avenue","Paramount","California","90723","United States","44405117","Cfr Rinkens Llc Andrea Nunez 15501 Texaco Ave Paramount, Ca 90723 Phone No : 310 722 4592","MSCU - Msc Mediterranean Shipping Company S A","Germany","Port of Long Beach, Long Beach, California","Pacific Region","United States","Bremerhaven, Germany","Western Europe","Germany","","Msc Rania","","",1,2,"See Container Quantities column","4233.88",4.23388,"4233.88 kg","114000",NA,"","",2020-01-26
"215",38599605,"SMLMPHX0B2927200",2020-08-09,"111 Sylvan Ave South Building L2","ENGLEWOOD CLIFFS, NJ 07632, UNITED STATES","","","","","United States","87608689","111 Sylvan Ave South Building L2,","SMLM - Sm Line Corporation","South Korea","Port of Long Beach, Long Beach, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Maersk Emerald","","",1,2,"See Container Quantities column","18752.58",18.75258,"18752.58 kg","101000",NA,"","",2020-08-31
"216",38599685,"SMLMPHX0B3252100",2020-08-09,"371 W. Victoria St.","CARSON, CA 90248 T:310-327-7030 F:310-327-7595","","Compton","California","90220","United States","18762580","625 W. Victoria Street","SMLM - Sm Line Corporation","South Korea","Port of Long Beach, Long Beach, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Maersk Emerald","","",1,2,"See Container Quantities column","14417.22",14.417222,"14417.222 kg","",NA,"","",2020-08-31
"217",34272473,"CAWB3798700",2020-09-24,"","","","","","","","","","HDMU - Hyundai Merchant Marine","South Korea","The Port of Los Angeles, Los Angeles, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","Losangeles, Ca","Hyundai Pluto","","",1,2,"See Container Quantities column","19200",19.2,"19200.0 kg","47600",NA,"","",2020-10-13
"218",34272953,"CAQI3800132",2020-09-23,"","","","","","","","","","HDMU - Hyundai Merchant Marine","China","The Port of Los Angeles, Los Angeles, California","Pacific Region","United States","Tsingtao, China","Eastern Asia","China","Losangeles","Hanover Express","","",NA,NA,"See Container Quantities column","",NA,"kg","",NA,"","",2020-10-13
"219",34255473,"6275531520",2020-09-23,"","","","","","","","","","COSU - Cosco Shipping Lines Co Ltd","China","Newark, New Jersey","New York Region","United States","Dagu/Tanggu, China","Eastern Asia","China","","Apl Vancouver","","",1,1,"See Container Quantities column","8750.92",8.75092,"8750.92 kg","",NA,"","",2020-10-13
"220",38599725,"SMLMPHX0B2799200",2020-08-09,"1490 Beachey Pl.","CARSON CA 90746","Carson","Sherwood Park","Alberta","","Canada","45192462","1490 Beachey Place","SMLM - Sm Line Corporation","South Korea","Port of Long Beach, Long Beach, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Maersk Emerald","","",1,1,"See Container Quantities column","2159.58",2.15958,"2159.58 kg","",NA,"","",2020-08-31
"221",38599665,"SMLMPHX0B3609700",2020-08-09,"Venture Metals","PO BOX 59883, DALLAS, TX, 75229 USA","","Dallas","Texas","75229","United States","33989291","C/O Venture Metals Llc","SMLM - Sm Line Corporation","South Korea","Port of Long Beach, Long Beach, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Maersk Emerald","","",1,2,"See Container Quantities column","40470",40.47,"40470.0 kg","128000",NA,"","",2020-08-31
"222",32705683,"MEDUKB622430",2020-01-01,"Gorimar N.V.O.C.C.","BALTIMORE, MD 21208 BALTIMORE MARYLAND 21208","8 Reservoir Circle","Pikesville","Maryland","21208","United States","36109692","Gorimar N.V.O.C.C. 8 Reservoir Circle, Suite 201 Baltimore, Md 21208","MSCU - Msc Mediterranean Shipping Company S A","Paraguay","Port of Virginia, Norfolk, Virginia","Southeast Region","United States","Asuncion, Paraguay","South America","Paraguay","Louisville, Ky","Msc Carolina","","",1,1,"See Container Quantities column","14890",14.89,"14890.0 kg","",NA,"","",2020-01-26
"223",32705703,"MEDUKB561083",2020-01-01,"Overseas Cargo Inc.","9614 PONDWOOD RD.BO.BOCA RATON FL 33428 PEDRO COTTO - EMAIL PCOTTO@ SOSLOGPR.COM TEFAX","9614 Pondwood Road","Boca Raton","Florida","33428","United States","39046583","Overseas Cargo, Inc. 9614 Pondwood Road Boca Raton, Fl 33428","MSCU - Msc Mediterranean Shipping Company S A","Dominican Republic","Port of Virginia, Norfolk, Virginia","Southeast Region","United States","Caucedo, Dominican Republic","Caribbean","Dominican Republic","Owensboro, Ky","Msc Carolina","","",1,1,"See Container Quantities column","8726.21",8.72621,"8726.21 kg","",NA,"","",2020-01-26
"224",32705723,"MEDUKB621093",2020-01-01,"","","","","","","","","","MSCU - Msc Mediterranean Shipping Company S A","Ecuador","Port of Virginia, Norfolk, Virginia","Southeast Region","United States","Guayaquil, Ecuador","South America","Ecuador","","Msc Carolina","","",1,16,"See Container Quantities column","208870",208.87,"208870.0 kg","252000",NA,"","",2020-01-26
"225",34287293,"SUDU20001APDC7ZK",2020-09-26,"","","","","","","","","","SUDU - Hamburg Sued","Australia","The Port of Charleston, Charleston, South Carolina","Southeast Region","United States","Adelaide, Australia","Australasia","Australia","Charleston Sc Us","Olivia Maersk","","",1,2,"See Container Quantities column","15597",15.597,"15597.0 kg","",NA,"","",2020-10-18
"226",34272573,"CAWB3801108",2020-09-24,"","","","","","","","","","HDMU - Hyundai Merchant Marine","South Korea","The Port of Los Angeles, Los Angeles, California","Pacific Region","United States","Kwangyang, South Korea","Eastern Asia","South Korea","Losangeles, Usa","Hyundai Pluto","","",1,4,"See Container Quantities column","39463",39.463,"39463.0 kg","",NA,"","",2020-10-13
"227",34272553,"CAWB3800194",2020-09-24,"","","","","","","","","","HDMU - Hyundai Merchant Marine","South Korea","The Port of Los Angeles, Los Angeles, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","Losangeles, Ca","Hyundai Pluto","","",1,2.25,"See Container Quantities column","10900.88",10.90088,"10900.88 kg","178000",NA,"","",2020-10-13
"228",34272213,"CAWB3802155",2020-09-24,"","","","","","","","","","HDMU - Hyundai Merchant Marine","","The Port of Los Angeles, Los Angeles, California","Pacific Region","United States","","","","Losangeles, Ca","Hyundai Pluto","","",1,10,"See Container Quantities column","105688",105.688,"105688.0 kg","",NA,"","",2020-10-13
"229",34272193,"CAWB3800497",2020-09-24,"","","","","","","","","","HDMU - Hyundai Merchant Marine","South Korea","The Port of Los Angeles, Los Angeles, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","Losangeles, Ca","Hyundai Pluto","","",1,4,"See Container Quantities column","31887.54",31.88754,"31887.54 kg","",NA,"","",2020-10-13
"230",38599785,"SMLMPHX0B3733500",2020-08-09,"5816 Corporate Ave., Ste. 150","CYPRESS, CA 90630 TEL: 714 821 8200","","","","","China","45833346","5816 Corporate Ave., Ste 150,","SMLM - Sm Line Corporation","South Korea","Port of Long Beach, Long Beach, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","","Maersk Emerald","","",1,2,"See Container Quantities column","18947",18.947,"18947.0 kg","",NA,"","",2020-08-31
"231",38591347,"ONEYRICAT5199400",2020-06-18,"Seaboard Foods","9000 WEST 67TH STREET SUITE 200 SHAWNEE MISSION, KS 66202","9000 West 67th Street","Mission","Kansas","66202","United States","27860580","Seaboard Foods","ONEY - Ocean Network Express Pte Ltd","Japan","Port of Oakland, Oakland, California","Pacific Region","United States","Tokyo, Japan","Eastern Asia","Japan","Us Oakland, Ca","Nyk Altair","","",1,2,"See Container Quantities column","17021.07",17.02107,"17021.07 kg","56600",NA,"","",2020-07-13
"232",38591207,"ONEYRICAT0836400",2020-06-18,"Smithfield Fresh Meats Corp.","USA SMITHFIELD VIRGINIA 23430","200 Commerce Street","Smithfield","Virginia","23430","United States","67035077","Smithfield Fresh Meats Corp.","ONEY - Ocean Network Express Pte Ltd","Japan","Port of Oakland, Oakland, California","Pacific Region","United States","Tokyo, Japan","Eastern Asia","Japan","Us Oakland, Ca","Nyk Altair","","",1,2,"See Container Quantities column","15188.8",15.1888,"15188.8 kg","50500",NA,"","",2020-07-13
"233",38591367,"ONEYRICAT5204500",2020-06-18,"Seaboard Foods","9000 WEST 67TH STREET SUITE 200 SHAWNEE MISSION, KS 66202","9000 West 67th Street","Mission","Kansas","66202","United States","27860580","Seaboard Foods","ONEY - Ocean Network Express Pte Ltd","Japan","Port of Oakland, Oakland, California","Pacific Region","United States","Tokyo, Japan","Eastern Asia","Japan","Us Oakland, Ca","Nyk Altair","","",1,2,"See Container Quantities column","16511.45",16.51145,"16511.45 kg","54900",NA,"","",2020-07-13
"234",38591227,"ONEYRICAT0876800",2020-06-18,"Smithfield Fresh Meats Corp.","USA SMITHFIELD VIRGINIA 23430","200 Commerce Street","Smithfield","Virginia","23430","United States","67035077","Smithfield Fresh Meats Corp.","ONEY - Ocean Network Express Pte Ltd","Japan","Port of Oakland, Oakland, California","Pacific Region","United States","Tokyo, Japan","Eastern Asia","Japan","Us Oakland, Ca","Nyk Altair","","",1,2,"See Container Quantities column","17544.49",17.54449,"17544.49 kg","58300",NA,"","",2020-07-13
"235",32704001,"MEDUKB602093",2020-01-01,"Cedars Express International Inc.","2751 E. EL PRESIDIO ST CARSON CA 90810","960 East Walnut Street","Carson","California","90746","United States","4169210","Cedars Express International Inc. Mike 2751 E. El Presidio St. Carson, Ca 90810 Phone No : 13106080306 Fax No : 13106080311","MSCU - Msc Mediterranean Shipping Company S A","Jordan","Port of Long Beach, Long Beach, California","Pacific Region","United States","Al Aqabah, Jordan","Western Asia","Jordan","","Msc Rania","","",1,2,"See Container Quantities column","5674",5.674,"5674.0 kg","",NA,"","",2020-01-26
"236",38591287,"ONEYRICAT3421400",2020-06-18,"Day Lee Foods Inc.","10305 HERITAGE PARK DRIVE,SUITE 111 SANTA FE SPRINGS, CA 90670 U.S.A. TEL#:562-903-3050","13055 Molette Street","Santa Fe Springs","California","90670","United States","36837105","Day Lee Foods, Inc.","ONEY - Ocean Network Express Pte Ltd","Japan","Port of Oakland, Oakland, California","Pacific Region","United States","Tokyo, Japan","Eastern Asia","Japan","Us Oakland, Ca","Nyk Altair","","",1,2,"See Container Quantities column","23039",23.039,"23039.0 kg","76600",NA,"","",2020-07-13
"237",38591307,"ONEYRICAT3993400",2020-06-18,"Seaboard Foods","9000 WEST 67TH STREET SUITE 200 SHAWNEE MISSION, KS 66202","9000 West 67th Street","Mission","Kansas","66202","United States","27860580","Seaboard Foods","ONEY - Ocean Network Express Pte Ltd","Japan","Port of Oakland, Oakland, California","Pacific Region","United States","Tokyo, Japan","Eastern Asia","Japan","Us Oakland, Ca","Nyk Altair","","",1,2,"See Container Quantities column","23704.09",23.70409,"23704.09 kg","58400",NA,"","",2020-07-13
"238",38591327,"ONEYRICAT5193500",2020-06-18,"Seaboard Foods","9000 WEST 67TH STREET SUITE 200 SHAWNEE MISSION, KS 66202","9000 West 67th Street","Mission","Kansas","66202","United States","27860580","Seaboard Foods","ONEY - Ocean Network Express Pte Ltd","Japan","Port of Oakland, Oakland, California","Pacific Region","United States","Tokyo, Japan","Eastern Asia","Japan","Us Oakland, Ca","Nyk Altair","","",1,2,"See Container Quantities column","16693.02",16.69302,"16693.02 kg","55500",NA,"","",2020-07-13
"239",32704141,"MEDUKB636422",2020-01-01,"Kuehne Nagel Inc. (Torrance)","20000 S WESTERN AV BLDG 1 TORRANCE CA 90501 UNITED STATES","20000 South Western Avenue","Torrance","California","90501","United States","38156468","Kuehne+Nagel Inc (Torrance) 20000 S Western Ave Building 1 Torrance, Ca 90501 Fax No : 2014130245","MSCU - Msc Mediterranean Shipping Company S A","Argentina","Port of Long Beach, Long Beach, California","Pacific Region","United States","Buenos Aires, Argentina","South America","Argentina","","Msc Rania","","",1,2,"See Container Quantities column","13244.16",13.24416,"13244.16 kg","",NA,"","",2020-01-26
"240",32704181,"MEDUKB625136",2020-01-01,"Cargo Planet Logistics","625 WEST VICTORIA STREET COMPTON, CA 90020","625 West Victoria Street","Compton","California","90220","United States","34473668","Cargo Planet Logistics Larry Soong 625 W Victoria St. Compton, Ca 90220 Phone No : 310 637 7820 Fax No : 310 637 9620","MSCU - Msc Mediterranean Shipping Company S A","United Kingdom","Port of Long Beach, Long Beach, California","Pacific Region","United States","Felixstowe, United Kingdom","Western Europe","United Kingdom","","Msc Rania","","",1,1,"See Container Quantities column","7664",7.664,"7664.0 kg","",NA,"","",2020-01-26
"241",32704201,"MEDUKB614791",2020-01-01,"Setton International Foods Inc.","85 AUSTIN BOULEVARD COMMACK, NY 11725","","","","","United States","36123545","Setton International Foods Inc. 85 Austin Boulevard Commack, Ny 11725 Phone No : 631 543 8090 Fax No : 631 543 0045","MSCU - Msc Mediterranean Shipping Company S A","Italy","Port of Long Beach, Long Beach, California","Pacific Region","United States","Gioia Tauro, Italy","Western Europe","Italy","","Msc Rania","","",1,2,"See Container Quantities column","20466.43",20.46643,"20466.43 kg","180000",NA,"","",2020-01-26
"242",38591387,"ONEYRICAT5238500",2020-06-18,"Seaboard Foods","9000 WEST 67TH STREET SUITE 200 SHAWNEE MISSION, KS 66202","9000 West 67th Street","Mission","Kansas","66202","United States","27860580","Seaboard Foods","ONEY - Ocean Network Express Pte Ltd","Japan","Port of Oakland, Oakland, California","Pacific Region","United States","Tokyo, Japan","Eastern Asia","Japan","Us Oakland, Ca","Nyk Altair","","",1,2,"See Container Quantities column","16708.63",16.70863,"16708.63 kg","55500",NA,"","",2020-07-13
"243",32704281,"MEDUKB623347",2020-01-01,"Imerys Filtration Minerals Inc.","THE UNITED STATES OF AMERICA 18057372445 LOMPOC CALIFORNIA 93436","2500 San Miguelito Road","Lompoc","California","93436","United States","61391648","Imerys Filtration Minerals 2500 Miguelito Canyon Road Lompoc, Ca 93436","MSCU - Msc Mediterranean Shipping Company S A","Brazil","Port of Long Beach, Long Beach, California","Pacific Region","United States","Port Itapoa, Brazil","South America","Brazil","","Msc Rania","","",1,20,"See Container Quantities column","206638.5",206.6385,"206638.5 kg","126000",NA,"","",2020-01-26
"244",32704321,"MEDUKB627710",2020-01-01,"Dapex","1600 LOWER RD LINDEN NJ UNITED STATES 07036 EMAIL DOCEXP DAPEX.NET LINDEN NJ","1600 Lower Road","Linden","New Jersey","07036","United States","36542410","Dapex 1600 Lower Road, Suite #6 Linden, Nj 07036","MSCU - Msc Mediterranean Shipping Company S A","Libya","Port of Long Beach, Long Beach, California","Pacific Region","United States","All Other Libya Ports, Libya","Northern Africa","Libya","","Msc Rania","","",1,2,"See Container Quantities column","8243",8.243,"8243.0 kg","",NA,"","",2020-01-26
"245",38553793,"ONEYRICAV3302400",2020-06-18,"Kuehne & Nagel Inc.","7850 NW 25TH ST DORAL FLORIDA 33122 USA","7850 Northwest 25th Street","Doral","Florida","33122","United States","27802287","Kuehne + Nagel,Inc. Fmc 001162 Nf Agent Of Blue","ONEY - Ocean Network Express Pte Ltd","Thailand","New York, New York","New York Region","United States","Laem Chabang, Thailand","South-Eastern Asia","Thailand","Us New York, Ny","Mol Marvel","","",1,2,"See Container Quantities column","17425",17.425,"17425.0 kg","198000",NA,"","",2020-07-12
"246",37598855,"ONEYRICVHX456300",2020-01-19,"The Delong Co. Inc.","214 ALLEN STREET CLINTON, WI 53525","214 Allen Street","Clinton","Wisconsin","53525","United States","27763730","The Delong Co., Inc","ONEY - Ocean Network Express Pte Ltd","South Korea","The Port of Los Angeles, Los Angeles, California","Pacific Region","United States","Busan, South Korea","Eastern Asia","South Korea","Us Los Angeles, Ca","Ym Modesty","","",1,102,"See Container Quantities column","1202442",1202.442,"1202442.0 kg","",NA,"","",2020-02-11
"247",38556653,"ONEYRICAK6474800",2020-06-18,"Acacia USA.","2420 TIGER LANE RICHLAND WA 99352","2420 Tiger Lane","Richland","Washington","99352","United States","33863240","Acacia U.S.A.","ONEY - Ocean Network Express Pte Ltd","South Korea","Jacksonville, Florida","Southeast Region","United States","Busan, South Korea","Eastern Asia","South Korea","Us Jacksonville, Fl","Mol Creation","","",1,10,"See Container Quantities column","106483",106.483,"106483.0 kg","57300",NA,"","",2020-07-12
"248",34034101,"MEDUUA195327",2020-09-03,"Kuehne & Nagel Inc.","7850 NW 25TH ST DORAL FLORIDA 33122 USA","7850 Northwest 25th Street","Doral","Florida","33122","United States","27802287","Kuehne + Nagel,Inc.","MSCU - Msc Mediterranean Shipping Company S A","Colombia","Houston, Houston, Texas","Southwest Region","United States","Buenaventura, Colombia","South America","Colombia","","Monte Pascoal","","",1,2,"See Container Quantities column","13395",13.395,"13395.0 kg","",NA,"","",2020-09-27
"249",34034401,"MEDUUA222097",2020-09-03,"Summit Almonds Llc","8680 GREENBACK LANE #250 ORANGEVALE, CA 95662 USA","8680 Greenback Lane","Orangevale","California","95662","United States","2537355","Summit Almonds","MSCU - Msc Mediterranean Shipping Company S A","United Arab Emirates","Port of Oakland, Oakland, California","Pacific Region","United States","Jebel Ali, United Arab Emirates","Western Asia","United Arab Emirates","","Cap San Juan","","",1,2,"See Container Quantities column","20094.35",20.09435,"20094.35 kg","72700",NA,"","",2020-09-27
"250",34034911,"HLCUBSC2008BGSM1",2020-09-03,"Strauns Customhouse Brokers Llc","309 PETE DIAZ JR AVE RIO GRANDE CITY, TX 78582","","","","","United States","85896860","Strauns Customhouse Brokers, Llc","HLCU - Hapag Lloyd A G","Brazil","Houston, Houston, Texas","Southwest Region","United States","Navegantes, Brazil","South America","Brazil","Ushou; Houston, Tx","Tucapel","","",1,1,"See Container Quantities column","15256",15.256,"15256.0 kg","26400",NA,"","",2020-09-27
