"","panjivarecordid","billofladingnumber","arrivaldate","conname","confulladdress","conroute","concity","constateregion","conpostalcode","concountry","conpanjivaid","conoriginalformat","shpname","shpfulladdress","shproute","shpcity","shpstateregion","shppostalcode","shpcountry","shppanjivaid","shporiginalformat","carrier","notifyparty","notifypartyscac","billofladingtype","masterbillofladingnumber","shpmtorigin","shpmtdestination","shpmtdestinationregion","portofunlading","portofunladingregion","portoflading","portofladingregion","portofladingcountry","placeofreceipt","transportmethod","vessel","vesselvoyageid","vesselimo","iscontainerized","volumeteu","quantity","measurement","weightkg","weightt","weightoriginalformat","valueofgoodsusd","frob","manifestnumber","inbondcode","numberofcontainers","haslcl","filedate"
"256",184133568,"PLPE7107XSRN001",2020-01-01,"Minerais USLlc.","105 RAIDER BOULEVARD HILLSBOROUGH, NJ 08844","105 Raider Boulevard","Hillsborough Township","New Jersey","08844","United States",27815086,"MINERAIS US LLC 105 RAIDER BLVD SUITE 104 HILLSBOROUGH NJ 08844","Sakura Ferroalloys Sdn Bhd","LOT 107 BLOCK 1 KEMENA LAND DISTRICT SAMALAJU INDUSTRIAL PARK","","","","","Vietnam",63430448,"SAKURA FERROALLOYS SDN BHD LOT 107 BLOCK 1 KEMENA LAND DISTRICT SAMALAJU INDUSTRIAL PARK","PLPE - Pacc Line Pte Ltd","CJ INTERNATIONAL 519 S ELLWOOD AVENUE BALTIMORE MD, 21224","PLPE - Pacc Line Pte Ltd","Simple","","Vietnam","Port of New Orleans, New Orleans, Louisiana","South Central Region","Port of New Orleans, New Orleans, Louisiana","South Central Region","All Other Malaysia Ports, Malaysia","South-Eastern Asia","Malaysia","SAMALAJU PORT","Maritime","ALAM MULIA","7107X",9748497,NA,NA,"1 BLK","",2000100,2000.1,"2000100 KG",3339000,NA,1000,"",1,NA,2020-01-03
"257",184133638,"CCBEEU024AWSA006",2020-01-01,"Voestalpine USA Corp.","2929 BRIARPARK DRIVE HOUSTON TX 77042","2929 Briarpark Drive","Houston","Texas","77042","United States",27891485,"VOESTALPINE USA CORP. 11490 WESTHEIMER ROAD SUITE 900 77077 HOUSTON, TEXAS USA","","","","","","","",NA,"","CCBE - Clipper Steel Services Ltd","EUROTRANCIATURA U.S.A. LLC 2700 WEST WOOD STREET, 38242 PARIS, TENNESSEE, USA","","Simple","","Belgium","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Antwerp, Belgium","Western Europe","Belgium","BEANR","Maritime","ATLANTIC PRISM","EU024",NA,NA,NA,"26 PCS","",150895,150.895,"150895 K",2236000,NA,1,"",1,NA,2020-01-03
"258",184133648,"CCBEEU024AWSA017",2020-01-01,"2 Nd Notify","METRO BOILER 122 ROLLINS INDUSTRIAL BLVD. 30736 RINGGOLD GA USA","122 Rollins Industrial Boulevard","Ringgold","Georgia","30736","United States",28210678,"","","","","","","","",NA,"","CCBE - Clipper Steel Services Ltd","2NND NOTIFY METRO BOILER, 122 ROLLINGS INDUSTRIAL BLVD, RINGGOLD GA 30736","","Simple","","Belgium","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Antwerp, Belgium","Western Europe","Belgium","BEANR","Maritime","ATLANTIC PRISM","EU024",NA,NA,NA,"17 PCS","",37564,37.564,"37564 K",NA,NA,1,"",1,NA,2020-01-03
"259",184133658,"CCBEEU024AWSA202",2020-01-01,"Industeel USA","139 MODENA ROAD COATESVILLE, PA 19320","139 Modena Road","Coatesville","Pennsylvania","19320","United States",27867497,"INDUSTEEL USA INC 139 MODENA ROAD COATESVILLE, PA 19320 UNITED STATES","Industeel Belgium","RUE DE CHATELET 266 CHARLEROI, WALLOON REGION 6030","266 Rue du Châtelet","Charleroi","Walloon Region","6030","Belgium",44247671,"INDUSTEEL BELGIUM SA RUE DE CHATELET 266 6030 CHARLEROI BELGIUM","CCBE - Clipper Steel Services Ltd","DARTRANS 6610 TRIBUTARY STREET, 21224 BALTIMORE, MARYLAND, UNITED STATES","","Simple","","Belgium","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Antwerp, Belgium","Western Europe","Belgium","BEANR","Maritime","ATLANTIC PRISM","EU024",NA,NA,NA,"2 PCS","",7232,7.232,"7232 K",NA,NA,1,"",1,NA,2020-01-03
"260",184133668,"CCBEEU024AWSA605",2020-01-01,"Thyssenkrupp Stainelss USA Llc","1 THYSSEN KRUPP DRIVE CALVERT AL 36513 US","22355 West 11 Mile Road","Southfield","Michigan","48033","United States",33499764,"THYSSENKRUPP STEEL N.A. 22355 WEST ELEVEN MILE ROAD SOUTHFIELD, MI.48033 US- CUSTOMS@TKSNA.COM","Thyssenkrupp Steel Europe AG","KAISER-WILHELM-STRASSE 100 DUISBURG, NORDRHEIN-WESTFALEN 47166","100 Kaiser-Wilhelm-Straße","Duisburg","North Rhine-Westphalia","47166","Germany",44296941,"THYSSENKRUPP STEEL EUROPE AG KAISER WILHELMSTRASSE 100 47166 DUISBURG-HAMBORN GERMANY","CCBE - Clipper Steel Services Ltd","THYSSENKRUPP STEEL N.A. 22355 WEST ELEVEN MILE ROAD, SOUTHFIELD, MI.48033, US- CUSTOMS@TKSNA.COM","","Simple","","Germany","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Antwerp, Belgium","Western Europe","Belgium","BEANR","Maritime","ATLANTIC PRISM","EU024",NA,NA,NA,"67 PCS","",1124170,1124.17,"1124170 K",742000,NA,1,"",1,NA,2020-01-03
"261",184133678,"CCBEEU024AWSA613",2020-01-01,"Thyssenkrupp Stainelss USA Llc","1 THYSSEN KRUPP DRIVE CALVERT AL 36513 US","22355 West 11 Mile Road","Southfield","Michigan","48033","United States",33499764,"THYSSENKRUPP STEEL N.A. 22355 WEST ELEVEN MILE ROAD SOUTHFIELD, MI.48033 US- CUSTOMS@TKSNA.COM","Thyssenkrupp Steel Europe AG","KAISER-WILHELM-STRASSE 100 DUISBURG, NORDRHEIN-WESTFALEN 47166","100 Kaiser-Wilhelm-Straße","Duisburg","North Rhine-Westphalia","47166","Germany",44296941,"THYSSENKRUPP STEEL EUROPE AG KAISER WILHELMSTRASSE 100 47166 DUISBURG-HAMBORN GERMANY","CCBE - Clipper Steel Services Ltd","THYSSENKRUPP STEEL N.A. 22355 WEST ELEVEN MILE ROAD, SOUTHFIELD, MI.48033, US- CUSTOMS@TKSNA.COM","","Simple","","Germany","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Antwerp, Belgium","Western Europe","Belgium","BEANR","Maritime","ATLANTIC PRISM","EU024",NA,NA,NA,"2 PCS","",20960,20.96,"20960 K",13800,NA,1,"",1,NA,2020-01-03
"262",184133828,"MEDUVA574965",2020-01-01,"Holland Marble Co. Inc.","1515 MONETARY LANE75006 CARROLTONT CARROLLTONTX 75006 UNITED STATES","1515 Monetary Ln","Carrollton","Texas","75006","United States",2010360,"HOLLAND MARBLE COMPANY INC 1515 MONETARY LANE CARROLLTON TX 75006 UNITED STATES","Neolith Distribution S.L","AVDA. ROSALES, 42 28041 MADRID","42 Avenida de los Rosales","Madrid","Comunidad de Madrid","28021","Spain",61401463,"NEOLITH DISTRIBUTION S.L. AVDA DE LOS ROSALES EDFO NOVOSUR 42 MADRID M 28021 SPAIN","MEDU - Msc Meditterranean Shipping Company Sa","E.R. HAWTHORNE & CO., INC 9370 WALLISVILLE RD, HOUSTON TX 77013 UNITED STATES","","Simple","","Spain","Houston, Houston, Texas","Southwest Region","Houston, Houston, Texas","Southwest Region","Valencia, Spain","Western Europe","Spain","VALENCIA","Maritime","MSC JUDITH","948W",9299549,1,2,"9 PKG","",22841,22.841,"22841 K",NA,NA,1,"",1,NA,2020-01-03
"263",198898341,"UNQLULSSHA127319",2020-11-16,"","","","","","","",NA,"","","","","","","","",NA,"","UNQL - Unique Logistics International (H K) Ltd","","MATS - Matson Navigation Company Inc","House","MATS5003192000","China","Port of Long Beach, Long Beach, California","Pacific Region","Port of Long Beach, Long Beach, California","Pacific Region","Shanghai, China","Eastern Asia","China","SHANGHAI","Maritime","NAVIOS VERANO","002E",NA,1,0.18,"51 CTN","4 X",430,0.43,"430 K",1300,NA,1,"",1,NA,2020-11-17
"264",189762520,"MAEU597707816",2020-05-17,"Duncan Enterprises","5673 E. SHIELDS AVENUE FRESCO, CA 9 FRESNO","5688 East Fountain Way","Fresno","California","93727","United States",27806019,"DUNCAN ENTERPRISES 5673 EAST SHIELDS AVENUE FRESNO CA 93727  USA 1-6305955601","Ningbo Shenle Educational Accessory","ACCESSORY CO. LTD FENG VILLAGE ZHANGQI TOWN CIXI CITY NINGBO ZHEJIANG 315313 CH","","Ningbo","Zhejiang","315312","China",36335161,"NINGBO SHENLE EDUCATIONAL ACCESSORY HEFENG VILLAGE ZHANGQI TOWN, CIXI ZHEJIANG,CHINA 315313 TEL:+86-574-63754886 86-57487668005 TEL EX 86-57487 67","MAEU - Maersk Line","DUNCAN ENTERPRISES 5673 EAST SHIELDS AVENUE, FRESNO CA 93727  USA, 1-6305955601","","House","MAEU581746609","China","Port of Long Beach, Long Beach, California","Pacific Region","Port of Long Beach, Long Beach, California","Pacific Region","Ningbo, China","Eastern Asia","China","NINGBO","Maritime","MAERSK ENSENADA","017N",9502958,1,10,"8511 CTN","311 CM",27055.9,27.0559,"59648 LB",188000,NA,1,"",5,NA,2020-05-18
"265",189762660,"ONEYHPHA04790600",2020-05-17,"Dupont Specialty Products USA Llc","DUPONT PERSONAL PROTECTION 1501 BELLWOOD RD PO BOX","1501 Bellwood Road","Richmond","Virginia","23237","United States",62895959,"DUPONT SPECIALTY PRODUCTS USA, LLC  1501 BELLWOOD ROAD RICHMOND VA 2323 7 US","Environstar Ltd. Co.","KM16 353 RD MINH DUC WARD DOSON DIST. HAIPHONG VIETNAM TEL +84313 562998 FAX +84313 562999","","Hai Phong","Haiphong","","Vietnam",44315206,"ENVIRONSTAR LIMITED COMPANY  LOT L1.5 & 1 3 L1.6, DO SON INDUSTR IAL ZONE HAIPHONG  738476 VN","ONEY - Ocean Network Express Pte Ltd","BDP INTERNATIONAL 510 WALNUT STREET PHILADELPHIA, PHI, LADELPHIA PA 19106 US","","Simple","","Vietnam","Port of Richmond, Richmond‑Petersburg, Virginia","Southeast Region","Port of Virginia, Norfolk, Virginia","Southeast Region","Vung Tau, Vietnam","South-Eastern Asia","Vietnam","HAIPHONG","Maritime","YM WARMTH","023E",9704647,1,4,"6466 CTN","136 CM",19062,19.062,"19062 KG",NA,NA,1,"Immediate Transportation (IT)",2,NA,2020-05-18
"266",189762670,"RLCLRSRMM2005002",2020-05-17,"Korechem Inc.","11 FARVIEW TERRACEPARAMUS NJ 07652","11 Farview Terrace","Paramus","New Jersey","07652","United States",44608528,"KORECHEM  INC  11 FARVIEW TERRACEPARAMUS  NJ 07652","Unid","505 GANGSEO HANGANG TOWER 401 GANGSEO-GU SEOUL KOREA","","","","","South Korea",59939824,"UNID CO., LTD.  17TH FL.FERRUM TOWER,19 EULJI-RO 5G IL (SUHA-DONG),JUNG-GU,SEOUL, SOUTH TE KOREA","RLCL - Ramses Logistics Co Ltd","KORECHEM  INC 11 FARVIEW TERRACEPARAMUS  NJ 07652","","House","COSU6261630550","South Korea","Port of Seattle, Seattle, Washington","Pacific Region","Port of Seattle, Seattle, Washington","Pacific Region","Busan, South Korea","Eastern Asia","South Korea","BUSAN, KOREA","Maritime","APL SOUTHAMPTON","0SV8J",NA,1,5,"100 PKG","",101250,101.25,"101250 KG",78500,1,1,"",5,NA,2020-05-18
"267",189762700,"MAEU910708638",2020-05-15,"Metallo Belgium NV","NIEUWE DREEBEERSE 2340 BELGIUM TE609763","Nieuwe Dreef","Beerse","Vlaanderen","2340","Belgium",44706725,"METALLO BELGIUM NV NIEUWE DREEF 33 B-2340 BEERSE WIM DRIESEN / DENNIS VAN DE PLAS 32-14609763","W Financial SA De Cv","ALFAREROS #119 COL. ALFAREROS PESQUERIA","","Monterrey","Nuevo León","64753","Mexico",46681955,"W FINANCIAL SA DE CV 119 ALFAREROS 66650 PESQUERIA 52-8119242295","MAEU - Maersk Line","MANUPORT LOGISTICS HAVEN 182 - VOSSESCHIJNSTRAAT 59, B-2030 ANTWERPEN, CHRIS GAMBLIN, 32-32049500","","Simple","","Mexico","Port of New Orleans, New Orleans, Louisiana","South Central Region","Port of New Orleans, New Orleans, Louisiana","South Central Region","Altamira, Mexico","Central America","Mexico","GUADALAJARA","Maritime","MAERSK GIRONDE","017W",9235555,1,6,"114 BAG","",134899,134.899,"297401 LB",NA,1,1,"",6,NA,2020-05-16
"268",184126198,"SQSTTSN0105439",2020-01-01,"Arrowhead","BLUE MOUND ROAD EAST HASLET 76052","Blue Mound Road East","Haslet","Texas","76052","United States",27963806,"ARROWHEAD SERVICES LTD 900 BLUE MOUND RD EAST HASLET TX 76052 UNITED STATES TE817 439 9600","Honest Horse (China) Holding Ltd.","365 THE SECOND JING ROAD HUAIYIN DI JINAN","","Jinan","Shandong","","China",29750822,"HONEST HORSE CHINA HOLDING LIMITED NO.365,THE SECOND JING ROAD HUAIYIN DISTRICT,JINAN CITY JINAN 250000 CHINA","SQST - Seaquest Line","ARROWHEAD SERVICES LTD 900 BLUE MOUND RD EAST, HASLET, TX 76052 UNITED STATES","MEDU - Msc Meditterranean Shipping Company Sa","House","MEDUJI399133","China","Dallas/Fort Worth International Airport, Dallas/Ft. Worth Airport, Texas","Southwest Region","Port of Long Beach, Long Beach, California","Pacific Region","Dagu/Tanggu, China","Eastern Asia","China","HSINKANG; XINGANG","Maritime","MAERSK ALFIRK","949N",NA,1,1,"20 PKG","",19900,19.9,"19900 KG",4600,NA,1,"Immediate Transportation (IT)",1,NA,2020-01-03
"269",198989561,"SXLMHNGB00036598",2020-11-18,"","","","","","","",NA,"","","","","","","","",NA,"","SXLM - Sparx Logistics Usa Limited","","SXLM - Sparx Logistics Usa Limited","House","ZIMUNGB9573592","China","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Ningbo, China","Eastern Asia","China","NINGBO","Maritime","CAPE SOUNIO","16E",9727625,1,0.67,"100 CTN","",1631,1.63,"1631 KG",NA,NA,1,"",1,NA,2020-11-19
"270",184126638,"ABTB2903448584",2020-01-01,"Palm Bay Imp. & Exp. Rs","48 HARBOR PARK DRIVE 48 HARBOR PARK DRIVE PORT WASHINGTON NY NY 11050 US","5301 North Federal Highway","Boca Raton","Florida","33487","United States",46002215,"PALM BAY INTERNATIONAL 48 HARBOR PARK DRIVE PORT WASHINGTON NY11050 US","Cavit S.C.R.L.","Via Del Ponte, 31 Ravina Di, Trento, Italy, 38040","31 Via del Ponte","Ravina","Trentino-Alto Adige/Südtirol","38123","Italy",26651061,"CAVIT S.C. VIA DEL PONTE, 31 TRENTO TN38123 IT","ABTB - Albatrans Spa","CAVIT S.C. VIA DEL PONTE, 31, TRENTO TN38123 IT","MEDU - Msc Meditterranean Shipping Company Sa","House","MEDUL3494407","Italy","Houston, Houston, Texas","Southwest Region","Houston, Houston, Texas","Southwest Region","La Spezia, Italy","Western Europe","Italy","TRENTO","Maritime","MSC JUDITH","948",NA,1,2,"1438 CTN","",18854,18.854,"18854 KG",NA,NA,363127,"",1,NA,2020-01-03
"271",198990881,"OERT215701J09544",2020-11-18,"","","","","","","",NA,"","","","","","","","",NA,"","OERT - Orient Express Container Co Ltd","","","House","ZIMUNGB9536967","China","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Ningbo, China","Eastern Asia","China","NINGBO,CHINA","Maritime","CAPE SOUNIO","16E",9727625,1,6,"1966 CTN","204 CM",19623,19.62,"19623 KG",NA,NA,91712,"",3,NA,2020-11-19
"272",199020651,"GWFCGTC011563",2020-11-18,"Chiquita Fresh North America Llc","550 S. CALDWELL ST CHARLOTTE NC 28202 CTC DAVE NOVEMBER","550 South Caldwell Street","Charlotte","North Carolina","28202","United States",27824297,"CHIQUITA FRESH NORTH AMERICA LLC DCOTA OFFICE CENTER 1855 GRIFFIN RO AD FORT LAUDERDALE        33004-227 US","Chiquita Brands International SARL","TULLIERE 16 ETOY1163 SWITZERLAND","18 La Tuilière","Etoy","Vaud","1163","Switzerland",28613172,"CHIQUITA BRANDS INTERNATIONAL SARL TUILIERE 16, 1163 ETOY ETOYCH","GWFC - Great White Fleet Corp","CHIQUITA FRESH NORTH AMERICA LLC 105 EAST HUENEME RD PIER 1 BIRTH 1, PORT HUENEME           93041     US","","Simple","","Switzerland","Port Hueneme, California","Pacific Region","Port Hueneme, California","Pacific Region","Puerto Quetzal, Guatemala","Central America","Guatemala","PUERTO QUETZAL","Maritime","CHIQUITA PROGRESS","101N",9357119,1,2,"840 PCS","",20160,20.16,"20160 K",10000,NA,1,"",1,NA,2020-11-19
"273",189764100,"MXYMMJSH20055025",2020-05-17,"Elite Flooring Inc.","9852 BALDWIN PLACE EL MONTE CA 91731 USA","9852 Baldwin Place","El Monte","California","91731","United States",30998819,"ELITE FLOORING,INC. 3550 MEEKER AVE EL MONTE CA 91731 U S.A","Changzhou Runchang Wood Co., Ltd.","CUIQIAO NORTH INDUSTRIAL ZONE HENGLIN TOWN CHANGZHOU JIANGSU CHINA","","Changzhou","Jiangsu","","China",27925102,"CHANGZHOU SHENGCHANG WOOD CO., LTD.HENGLIN TOWN, WUJIN DISTRI CT, CHANGZHOU CITY,JIANGSU PROVINCE CHINA","MXYM - Matrix Supply Chain Management (Shanghai) Co Ltd","FLORSTAR SALES-CHICAGO 1075 TAYLOR ROADROMEOVILLE,IL 604, 46  U.S.A","","House","CMDUCNCP124258","China","Illinois International Port District, Chicago, Illinois","North Central Region","Port of Seattle, Seattle, Washington","Pacific Region","Yang Shan, China","Eastern Asia","China","YANGSHAN","Maritime","APL SOUTHAMPTON","0SV8J",NA,1,2,"3401 PKG","",39220,39.22,"39220 KG",18000,NA,1,"Immediate Transportation (IT)",2,NA,2020-05-18
"274",184126818,"MEDUJI379507",2020-01-01,"Cypress Imp. Brokerage Llc","4345 SOUTHPOINT PKWY JACKSONVILLE FL 32216 POC: CANDICE KENNEDY","8613 Old Kings Road South","Jacksonville","Florida","32217","United States",62982596,"","","","","","","","",NA,"","MEDU - Msc Meditterranean Shipping Company Sa","CYPRESS IMPORT BROKERAGE LLC 4345 SOUTHPOINT PKWY, JACKSONVILLE FL 32216 UNITED STATES","","Simple","","China","Illinois International Port District, Chicago, Illinois","North Central Region","Port of Long Beach, Long Beach, California","Pacific Region","Tianjin, China","Eastern Asia","China","TIANJINXINGANG","Maritime","MAERSK ALFIRK","949N",9342516,1,2,"3500 CTN","69 X",19145,19.145,"19145 K",44100,NA,1,"Immediate Transportation (IT)",1,NA,2020-01-03
"275",184126828,"MEDUJI379614",2020-01-01,"Cypress Imp. Brokerage Llc","4345 SOUTHPOINT PKWY JACKSONVILLE FL 32216 POC: CANDICE KENNEDY","8613 Old Kings Road South","Jacksonville","Florida","32217","United States",62982596,"","","","","","","","",NA,"","MEDU - Msc Meditterranean Shipping Company Sa","CYPRESS IMPORT BROKERAGE LLC 4345 SOUTHPOINT PKWY, JACKSONVILLE FL 32216 UNITED STATES","","Simple","","China","Port Columbus International Airport, Columbus, Ohio","North Central Region","Port of Long Beach, Long Beach, California","Pacific Region","Tianjin, China","Eastern Asia","China","TIANJINXINGANG","Maritime","MAERSK ALFIRK","949N",9342516,1,2,"2466 CTN","63 X",19472,19.472,"19472 K",NA,NA,1,"Immediate Transportation (IT)",1,NA,2020-01-03
"276",184126838,"MEDUJI388979",2020-01-01,"Master Halco","DALLAS TX 75234-7770","8330 Lovett Avenue","Dallas","Texas","75227","United States",27855383,"MASTER HALCO,INC. 3010 LBJ FREEWAY, STE 800 DALLAS TX 75234 UNITED STATES","Shanghai Cedargreen Imp. & Exp. Co.","NO 3 BLDG 547 TIAN MU WEST SH 200070 CHINA","Dong San Lu","","Shanghai Shi","","China",44691505,"SHANGHAI CEDARGREEN IMP & EXP CO., SUITE 1615, NO. 3 BUILDING 547 TIAN SHANGHAI 31 200070 CHINA","MEDU - Msc Meditterranean Shipping Company Sa","MASTER HALCO,INC. 3010 LBJ FREEWAY, STE 800, DALLAS TX 75234 UNITED STATES","","Simple","","China","Dallas/Fort Worth International Airport, Dallas/Ft. Worth Airport, Texas","Southwest Region","Port of Long Beach, Long Beach, California","Pacific Region","Tianjin, China","Eastern Asia","China","TIANJINXINGANG","Maritime","MAERSK ALFIRK","949N",9342516,1,1,"4377 PKG","25 X",18990,18.99,"18990 K",NA,NA,1,"Immediate Transportation (IT)",1,NA,2020-01-03
"277",184126858,"MEDUJI411672",2020-01-01,"Ups Customs Brokerage 19701","19701 HAMILTON AV TORRANCE CA 90502","19701 Hamilton Avenue","Torrance","California","90502","United States",45722124,"","","","","","","","",NA,"","MEDU - Msc Meditterranean Shipping Company Sa","DAMCO DISTRIBUTION SERVICES INC 5011 EAST FIRESTONE PLACE, SOUTH GATE CA 90280 UNITED STATES  ;  UPS CUSTOMS BROKERAGE 19701 HAMILTON AVE SUITE 250, TORRANCE CA 90502 UNITED STATES","","Simple","","China","Port of Long Beach, Long Beach, California","Pacific Region","Port of Long Beach, Long Beach, California","Pacific Region","Tianjin, China","Eastern Asia","China","TIANJINXINGANG","Maritime","MAERSK ALFIRK","949N",9342516,1,0.17,"48 CTN","6 X",936,0.936,"936 K",NA,NA,1,"",1,NA,2020-01-03
"278",184127228,"MEDUG3406832",2020-01-01,"Ikea Supply AG Ikea Distribution Se","BORUSAN RD BAYTOWN TX 77523 UNITED STATES","Borusan Road","Baytown","Texas","77523","United States",45913137,"IKEA SUPPLY AG IKEA DISTRIBUTION SE 4762 BORUSAN RD BAYTOWN TX 77523 UNITED STATES","Friulintagli Industries SpA","UNITA 39 VIA ROVERAT 39 PORTOBUFFOLE (TV) 31040 ITALY 39-2929271","19 Via Bastie","Zona Industriale Bastie","Veneto","31040","Italy",46094706,"FRIUL INTAGLI INDUSTRIES SPA UNITA 8 VIA BASTIE, 9 PORTOBUFFOLE TV 31040 ITALY","MEDU - Msc Meditterranean Shipping Company Sa","IKEA PURCHASING SERVICES (US) INC 3200 HORIZON DR. #120 SUITE G10, KING OF PRUSSIA PA 19406 UNITED STA  ;  GEODIS USA, INC. THE NAVY YARD 5101 S. BROAD STREET, PHILADELPHIA PA 19112 UNITED STATES","","Simple","","Italy","Houston, Houston, Texas","Southwest Region","Houston, Houston, Texas","Southwest Region","La Spezia, Italy","Western Europe","Italy","PORTOBUFFOLE, ITA","Maritime","MSC JUDITH","948W",9299549,1,2,"1088 CTN","51 X",18603,18.603,"18603 K",NA,NA,1,"",1,NA,2020-01-03
"279",184127238,"MEDUG3423555",2020-01-01,"Ikea Supply AG Ikea Distribution Se","BORUSAN RD BAYTOWN TX 77523 UNITED STATES","Borusan Road","Baytown","Texas","77523","United States",45913137,"IKEA SUPPLY AG IKEA DISTRIBUTION SE 4762 BORUSAN RD BAYTOWN TX 77523 UNITED STATES","Friulintagli Industries SpA","UNITA 39 VIA ROVERAT 39 PORTOBUFFOLE (TV) 31040 ITALY 39-2929271","19 Via Bastie","Zona Industriale Bastie","Veneto","31040","Italy",46094706,"FRIUL INTAGLI INDUSTRIES SPA UNITA 8 - VIA BASTIE 19 PORTOBUFFOLE TV 31040 ITALY","MEDU - Msc Meditterranean Shipping Company Sa","IKEA PURCHASING SERVICES (US) INC 3200 HORIZON DR. #120 SUITE G10, KING OF PRUSSIA PA 19406 UNITED STA  ;  GEODIS 5101 SOUTH BROAD STREET, PHILADELPHIA PA 19112 UNITED STATES","","Simple","","Italy","Houston, Houston, Texas","Southwest Region","Houston, Houston, Texas","Southwest Region","La Spezia, Italy","Western Europe","Italy","PORTOBUFFOLE, ITA","Maritime","MSC JUDITH","948W",9299549,1,2,"356 CTN","44 X",19213,19.213,"19213 K",NA,NA,1,"",1,NA,2020-01-03
"280",189764210,"CHQFXMN000764207",2020-05-16,"Asteria Co.","6915 GILLELAND LANE ATLANTA GA 30360 USA","6915 Gilleland Lane Northwest","Atlanta","Georgia","30360","United States",44601959,"ASTERA,INC 6915 GILLELAND LANE ATLANTA GA30360 US TE+17702775218","","","","","","","",NA,"","CHQF - China International Freight Co Ltd","","YMLU - Yang Ming Marine Transport Corp","House","YMLUE228085583","China","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Georgia Ports Authority, Savannah, Georgia","Southeast Region","Xiamen, China","Eastern Asia","China","XIAMEN","Maritime","ONE HOUSTON","040E",9566382,1,3,"29 PKG","",50900,50.9,"50900 KG",NA,NA,1,"",3,NA,2020-05-18
"281",184127288,"MEDUL3507240",2020-01-01,"Winesu","1021 1/2 SAVILLE AV EDDYSTONE PA 19022 USA","1021 Saville Avenue","Eddystone","Pennsylvania","19022","United States",36997842,"WINESU 1021 1/2 SAVILLE AVENUE EDDYSTONE PA 19022 UNITED STATES","Giorgio Gori Warehouse","IND.PICCHIANTI 57017 LIVORNO (LI) ITALY FDA NO. A GORIMAR DBA","","","","","United States",44210897,"GIORGIO GORI WAREHOUSE INTERPORTO AMERIGO VESPUCCI GUASTICCE LI 57017 ITALY","MEDU - Msc Meditterranean Shipping Company Sa","WINESU 1021 1/2 SAVILLE AVENUE, EDDYSTONE PA 19022 UNITED STATES  ;  GIORGIO GORI USA INC 80 RIVER STREET, HOBOKEN NJ 07030 UNITED STATES","","Simple","","Italy","Houston, Houston, Texas","Southwest Region","Houston, Houston, Texas","Southwest Region","La Spezia, Italy","Western Europe","Italy","STAGNO,ITALY","Maritime","MSC JUDITH","948W",9299549,1,2,"1274 CAS","",18878,18.878,"18878 K",NA,NA,1,"",1,NA,2020-01-03
"282",184127328,"PRIM2DK12006",2020-01-01,"Kemin Industries Inc.","1900 SCOTT AVENUE DES MOINES, IA 50317-1134","2100 Maury Street","Des Moines","Iowa","50317","United States",27809447,"KEMIN INDUSTRIES-KANA 2100 MAURY STREET DOCKS 5-8 DES MOINES IA50317 US","Cofco Tech Bioengineering","No.43 Thirteenth Avenue, Teda, Tianjin, China, 300457","","Tianjin","Tianjin","300457","China",33622306,"COFCO TECH BIOENGINEERING TIANJIN)CO.,LTD NO.43, 13TH AVENUE TEDA TIANJIN CN","PRIM - Prime Shipping International Inc","","MEDU - Msc Meditterranean Shipping Company Sa","House","MEDUJI371900","China","Port Of Entry-Kansas City, Kansas City, Missouri","North Central Region","Port of Long Beach, Long Beach, California","Pacific Region","Dagu/Tanggu, China","Eastern Asia","China","XINGANG CHINA","Maritime","MAERSK ALFIRK","949N",9342516,1,1,"18 PKG","",18072,18.072,"18072 K",156000,NA,1,"Immediate Transportation (IT)",1,NA,2020-01-03
